Timestamp,Object_ID,Depth_mm
1741815434.1975205,1,44.0
1741815434.1975205,3,40.5
1741815434.1975205,0,44.3
1741815434.2291112,1,43.9
1741815434.2291112,3,40.4
1741815434.2291112,0,44.3
1741815434.261219,1,43.9
1741815434.261219,3,40.5
1741815434.262202,0,44.3
1741815434.292281,1,43.9
1741815434.292281,3,40.6
1741815434.292281,0,44.3
1741815434.3629053,1,43.9
1741815434.363901,3,40.4
1741815434.363901,0,44.4
1741815434.422891,1,43.9
1741815434.422891,3,40.4
1741815434.422891,0,44.3
1741815434.4661558,1,43.9
1741815434.4661558,3,40.5
1741815434.4671645,0,44.3
1741815434.493164,1,43.9
1741815434.493164,3,40.5
1741815434.493164,0,44.4
1741815434.540902,1,43.9
1741815434.5419118,3,40.4
1741815434.5419118,0,44.3
1741815434.585978,1,43.9
1741815434.585978,3,40.3
1741815434.586977,0,44.3
1741815434.635513,0,44.1
1741815434.6366177,3,40.5
1741815434.6369853,1,44.0
1741815434.7091837,0,44.3
1741815434.7091837,3,40.6
1741815434.7101884,1,44.0
1741815434.742229,0,44.4
1741815434.742229,3,40.3
1741815434.742229,1,44.0
1741815434.7860477,0,44.4
1741815434.7860477,3,40.5
1741815434.7870922,1,43.9
1741815434.8405614,0,44.4
1741815434.8415644,3,40.3
1741815434.8415644,1,44.0
1741815434.8836489,0,44.4
1741815434.8836489,3,40.5
1741815434.8846674,1,44.1
1741815434.9602804,0,44.4
1741815434.9611533,3,40.4
1741815434.9611533,1,44.1
1741815435.0308504,0,44.4
1741815435.0318525,3,40.4
1741815435.0318525,1,44.0
1741815435.0857728,0,44.3
1741815435.0857728,3,40.5
1741815435.0857728,1,44.0
1741815435.130855,0,44.3
1741815435.1318638,3,40.4
1741815435.1318638,1,44.1
1741815436.681521,0,44.5
1741815436.681521,3,40.3
1741815436.682524,1,44.2
1741815436.757876,0,44.4
1741815436.7593813,3,40.4
1741815436.7603877,1,44.0
1741815436.8344114,0,44.5
1741815436.8344114,3,40.2
1741815436.8354187,1,44.0
1741815436.8828368,1,44.2
1741815436.8838356,3,40.2
1741815436.8848352,0,44.3
1741815436.92548,1,44.2
1741815436.92548,3,40.3
1741815436.92548,0,44.4
1741815436.9559946,1,44.0
1741815436.9559946,3,40.3
1741815436.957002,0,44.4
1741815437.002883,1,44.1
1741815437.002883,3,40.3
1741815437.002883,0,44.4
1741815437.0578637,1,44.1
1741815437.0578637,3,40.3
1741815437.0578637,0,44.5
1741815437.1135018,1,44.0
1741815437.1145024,3,40.4
1741815437.1145024,0,44.5
1741815437.143674,1,44.0
1741815437.143674,3,40.4
1741815437.143674,0,44.5
1741815437.1909878,1,44.0
1741815437.1909878,3,40.4
1741815437.1909878,0,44.4
1741815437.220896,1,43.9
1741815437.2218962,3,40.5
1741815437.2218962,0,44.4
1741815437.2510128,1,44.0
1741815437.2520137,3,40.3
1741815437.2520137,0,44.5
1741815437.3021455,1,44.0
1741815437.3021455,3,40.4
1741815437.3021455,0,44.5
1741815437.3453455,0,44.3
1741815437.346346,3,40.4
1741815437.346346,1,44.3
1741815437.3789685,1,44.2
1741815437.3789685,3,40.4
1741815437.3789685,0,44.4
1741815437.4108844,0,44.4
1741815437.4108844,3,40.4
1741815437.4108844,1,44.2
1741815437.4543104,0,44.6
1741815437.4543104,3,40.4
1741815437.4543104,1,44.3
1741815437.4858556,0,44.4
1741815437.486856,3,40.5
1741815437.486856,1,44.0
1741815437.536005,0,44.4
1741815437.536005,3,40.5
1741815437.536005,1,43.9
1741815437.567261,0,44.5
1741815437.567261,3,40.5
1741815437.567261,1,44.0
1741815437.6461449,0,44.6
1741815437.647153,3,40.4
1741815437.647153,1,44.0
1741815437.6822286,1,44.3
1741815437.6828191,3,40.5
1741815437.6828191,0,44.4
1741815437.7211275,1,44.2
1741815437.7211275,3,40.5
1741815437.7211275,0,44.5
1741815437.775555,1,44.0
1741815437.7763932,3,40.3
1741815437.7763932,0,44.4
1741815437.848188,1,44.0
1741815437.848188,3,40.2
1741815437.8491874,0,44.5
1741815437.9133806,1,44.1
1741815437.91438,3,40.4
1741815437.91438,0,44.5
1741815437.9688866,1,44.1
1741815437.9701114,3,40.4
1741815437.9701114,0,44.5
1741815438.0177774,1,44.2
1741815438.0177774,3,40.5
1741815438.0177774,0,44.6
1741815438.067192,1,44.2
1741815438.067192,3,40.4
1741815438.067192,0,44.5
1741815438.1273646,1,44.2
1741815438.1273646,3,40.5
1741815438.1288702,0,44.6
1741815438.2099755,1,44.1
1741815438.2099755,3,40.4
1741815438.2099755,0,44.6
1741815438.2587254,1,44.1
1741815438.2592738,3,40.4
1741815438.2592738,0,44.6
1741815438.2978792,1,44.1
1741815438.2978792,3,40.4
1741815438.2978792,0,44.6
1741815438.348888,1,44.2
1741815438.348888,3,40.5
1741815438.348888,0,44.6
1741815438.3946233,1,44.2
1741815438.3956287,3,40.3
1741815438.3956287,0,44.7
1741815438.441541,0,44.4
1741815438.441541,3,40.4
1741815438.441541,1,44.3
1741815438.4887862,0,44.4
1741815438.4887862,3,40.4
1741815438.4887862,1,44.2
1741815438.538969,1,44.4
1741815438.538969,3,40.3
1741815438.538969,0,44.5
1741815438.5818503,1,44.2
1741815438.5818503,3,40.4
1741815438.5818503,0,44.5
1741815438.6272497,1,44.3
1741815438.6272497,3,40.4
1741815438.6272497,0,44.6
1741815438.6851954,1,44.2
1741815438.6851954,3,40.4
1741815438.6851954,0,44.5
1741815438.7662911,1,44.3
1741815438.7662911,3,40.4
1741815438.7662911,0,44.5
1741815438.8240292,1,44.1
1741815438.8240292,3,40.4
1741815438.8240292,0,44.5
1741815438.8747275,1,44.2
1741815438.8747275,3,40.5
1741815438.875727,0,44.6
1741815438.9259934,1,44.2
1741815438.9259934,3,40.4
1741815438.9259934,0,44.5
1741815438.981747,1,44.1
1741815438.981747,3,40.5
1741815438.981747,0,44.5
1741815439.047466,1,44.1
1741815439.047466,3,40.5
1741815439.047466,0,44.5
1741815439.112791,1,44.2
1741815439.112991,3,40.7
1741815439.112991,0,44.5
1741815439.1732938,1,44.2
1741815439.174304,3,40.7
1741815439.174304,0,44.5
1741815439.2310858,1,44.2
1741815439.2320862,3,40.9
1741815439.2320862,0,44.5
1741815439.2970045,1,44.2
1741815439.2970045,3,40.5
1741815439.2970045,0,44.5
1741815439.3564525,1,44.2
1741815439.357461,3,40.6
1741815439.357461,0,44.5
1741815439.4275322,1,44.2
1741815439.4275322,3,40.7
1741815439.4275322,0,44.5
1741815439.482847,1,44.2
1741815439.482847,3,40.7
1741815439.482847,0,44.4
1741815439.5420492,1,44.3
1741815439.5420492,3,40.6
1741815439.5434177,0,44.5
1741815439.608786,1,45.0
1741815439.608786,3,40.4
1741815439.608786,1,44.4
1741815439.6603642,1,46.1
1741815439.6603642,3,40.8
1741815439.6603642,1,43.8
1741815439.7178757,1,46.3
1741815439.7178757,3,40.6
1741815439.7178757,1,43.5
1741815439.781049,1,46.3
1741815439.781049,3,40.8
1741815439.7820485,1,44.5
1741815439.8412013,3,40.8
1741815439.8412013,1,44.5
1741815439.946688,3,40.9
1741815439.946688,1,44.7
1741815440.015695,3,41.3
1741815440.015695,1,44.9
1741815440.090566,3,41.2
1741815440.090566,1,45.0
1741815440.163695,3,41.2
1741815440.163695,1,45.0
1741815440.2575772,3,41.1
1741815440.258698,1,45.4
1741815440.3290365,3,40.6
1741815440.3290365,1,45.8
1741815440.3845966,3,40.6
1741815440.385604,1,46.2
1741815440.428992,3,40.9
1741815440.4302428,1,46.6
1741815440.475088,3,41.0
1741815440.475088,1,46.7
1741815440.5066257,3,41.2
1741815440.5066257,1,46.7
1741815440.5538871,3,42.0
1741815440.554893,1,46.6
1741815440.599136,3,44.0
1741815440.599136,1,47.1
1741815440.64758,3,45.3
1741815440.64758,1,47.4
1741815440.6939204,3,45.7
1741815440.6949248,1,48.0
1741815440.7441971,3,46.6
1741815440.7447252,1,48.4
1741815440.7955103,3,46.8
1741815440.8398414,3,46.9
1741815440.8933651,3,164.1
1741815440.947263,3,166.8
1741815440.947263,1,50.5
1741815440.9991271,3,167.2
1741815440.9991271,1,51.0
1741815441.0409694,3,165.8
1741815441.0801988,3,168.1
1741815441.132269,3,167.2
1741815441.174743,3,169.5
1741815441.2235894,3,168.6
1741815441.2797692,1,53.0
1741815441.324864,1,52.6
1741815441.3658178,1,53.2
1741815441.4101834,1,53.3
1741815441.458984,1,53.4
1741815441.5099032,1,52.9
1741815441.5572677,1,53.1
1741815441.5997598,1,53.0
1741815441.6508124,1,53.0
1741815441.7132745,1,53.2
1741815441.7590427,1,53.3
1741815441.7989757,1,52.4
1741815441.854099,1,52.7
1741815441.855091,1,51.1
1741815441.9101863,1,52.7
1741815441.9111876,1,50.4
1741815441.9573426,1,52.6
1741815441.9573426,1,50.3
1741815442.0079591,1,52.3
1741815442.0079591,1,50.3
1741815442.078788,1,52.0
1741815442.079306,1,50.1
1741815442.1550362,1,51.5
1741815442.1550362,1,49.8
1741815442.2130306,1,51.0
1741815442.2140298,1,49.9
1741815442.2772384,1,50.6
1741815442.332736,1,49.8
1741815442.333733,1,49.0
1741815442.3952324,1,49.2
1741815442.396304,1,48.7
1741815442.396304,3,167.7
1741815442.4424825,1,48.8
1741815442.4424825,1,48.5
1741815442.4424825,3,172.9
1741815442.4879966,1,48.6
1741815442.4890037,1,46.8
1741815442.4890037,3,169.5
1741815442.537444,1,47.8
1741815442.537444,3,165.4
1741815442.5825295,1,47.7
1741815442.5825295,3,166.3
1741815442.6286976,1,46.9
1741815442.6286976,3,169.1
1741815442.672321,1,46.6
1741815442.7220533,1,46.4
1741815442.788801,1,45.8
1741815442.8688233,1,45.6
1741815442.949704,1,45.1
1741815443.0206673,1,44.9
1741815443.0206673,3,165.4
1741815443.080745,1,44.6
1741815443.1271496,1,44.5
1741815443.1709187,1,44.3
1741815443.2343414,1,44.3
1741815443.280373,1,44.3
1741815443.3246694,1,44.2
1741815443.3721497,1,44.2
1741815443.4189565,1,44.2
1741815443.4659324,1,44.2
1741815443.5123763,1,44.3
1741815443.5569377,1,44.4
1741815443.6049693,1,44.3
1741815443.6341171,1,44.4
1741815443.6827717,1,44.5
1741815443.7492204,1,44.7
1741815443.7932873,1,44.8
1741815443.8390367,1,44.8
1741815443.8390367,3,160.2
1741815443.8866844,1,44.9
1741815443.887684,3,161.0
1741815443.9329011,1,44.8
1741815443.9329011,3,164.5
1741815443.980751,1,44.7
1741815443.980751,3,163.2
1741815444.0273032,1,44.6
1741815444.0273032,3,163.2
1741815444.082194,1,44.6
1741815444.082194,3,163.2
1741815444.1450331,1,44.6
1741815444.1450331,3,162.3
1741815444.193004,1,44.6
1741815444.247775,1,44.5
1741815444.29891,1,44.5
1741815444.3700209,1,44.6
1741815444.4255092,1,44.5
1741815444.4930058,1,44.6
1741815444.552163,1,44.6
1741815444.615831,1,44.6
1741815444.6741056,1,44.6
1741815444.7237122,1,44.8
1741815444.7873669,1,44.7
1741815444.8491278,1,44.8
1741815444.9058926,1,44.9
1741815444.946029,1,44.7
1741815444.9993646,1,44.8
1741815445.0633204,1,44.9
1741815445.1180344,1,44.7
1741815445.166556,1,44.8
1741815445.2401311,1,44.8
1741815445.241129,3,161.4
1741815445.301752,1,44.8
1741815445.3775191,1,44.8
